key,coupler_widths,C11,C12,C13,C14,C21,C22,C23,C24,C31,C32,C33,C34,C41,C42,C43,C44
clockmon_[119.0__0__119.0__0__0__0],"[119.0, 0, 119.0, 0, 0, 0]",4.5846892783364097e-14,1.374723300592756e-17,8.840260009788731e-15,3.98033497079945e-16,1.374723300592756e-17,5.198398630274592e-14,6.666054341010223e-16,8.021492352461878e-15,8.840260009788731e-15,6.666054341010223e-16,9.731528125544773e-14,3.703305434444679e-14,3.98033497079945e-16,8.021492352461878e-15,3.703305434444679e-14,9.756960773815109e-14
clockmon_[119.0__0__128.0__0__0__0],"[119.0, 0, 128.0, 0, 0, 0]",4.584522826204899e-14,1.433981345098246e-17,8.839903648520476e-15,3.97825414204379e-16,1.433981345098246e-17,5.295783724512892e-14,7.11534084473173e-16,8.463186664697938e-15,8.839903648520476e-15,7.11534084473173e-16,9.72869092647899e-14,3.701796086908304e-14,3.97825414204379e-16,8.463186664697938e-15,3.701796086908304e-14,9.730262016114254e-14
clockmon_[119.0__0__137.0__0__0__0],"[119.0, 0, 137.0, 0, 0, 0]",4.608893864993216e-14,1.493154214977067e-17,8.852847312464777e-15,3.97790645672556e-16,1.493154214977067e-17,5.4144022755192144e-14,7.596670377866453e-16,8.906457455409392e-15,8.852847312464777e-15,7.596670377866453e-16,9.733230418992306e-14,3.70306922367914e-14,3.97790645672556e-16,8.906457455409392e-15,3.70306922367914e-14,9.707893273250745e-14
clockmon_[119.0__0__146.0__0__0__0],"[119.0, 0, 146.0, 0, 0, 0]",4.608639732136251e-14,1.549751574289787e-17,8.85216381817266e-15,3.976265921713456e-16,1.549751574289787e-17,5.51231022532547e-14,8.112368474108174e-16,9.326178558226805e-15,8.85216381817266e-15,8.112368474108174e-16,9.729548692539881e-14,3.701455487651591e-14,3.976265921713456e-16,9.326178558226805e-15,3.701455487651591e-14,9.681845916087795e-14
clockmon_[119.0__0__155.0__0__0__0],"[119.0, 0, 155.0, 0, 0, 0]",4.60865438359302e-14,1.610519520817631e-17,8.852183128822715e-15,3.974445035607264e-16,1.610519520817631e-17,5.6127303378486686e-14,8.669985287010123e-16,9.731081607343845e-15,8.852183128822715e-15,8.669985287010123e-16,9.725946270714659e-14,3.69978790871996e-14,3.974445035607264e-16,9.731081607343845e-15,3.69978790871996e-14,9.656917904180546e-14
clockmon_[119.0__0__164.0__0__0__0],"[119.0, 0, 164.0, 0, 0, 0]",4.59835550511886e-14,1.675945278995781e-17,8.8502702260799e-15,3.970844045418274e-16,1.675945278995781e-17,5.701294906093118e-14,9.271884826006226e-16,1.011909526363032e-14,8.8502702260799e-15,9.271884826006226e-16,9.721498331529767e-14,3.697584776207919e-14,3.970844045418274e-16,1.011909526363032e-14,3.697584776207919e-14,9.631852727575467e-14
clockmon_[119.0__0__173.0__0__0__0],"[119.0, 0, 173.0, 0, 0, 0]",4.6035684012739706e-14,1.742611754777443e-17,8.850739577704009e-15,3.969896578726542e-16,1.742611754777443e-17,5.808442961164987e-14,9.925397351608616e-16,1.0494718625662198e-14,8.850739577704009e-15,9.925397351608616e-16,9.717619366788041e-14,3.695710045269713e-14,3.969896578726542e-16,1.0494718625662198e-14,3.695710045269713e-14,9.608277499159731e-14
clockmon_[119.0__0__182.0__0__0__0],"[119.0, 0, 182.0, 0, 0, 0]",4.607918099508598e-14,1.808767484233979e-17,8.852127318068566e-15,3.969131454281021e-16,1.808767484233979e-17,5.914247522229538e-14,1.063677886480441e-15,1.083971436761668e-14,8.852127318068566e-15,1.063677886480441e-15,9.713395261936209e-14,3.69392702883815e-14,3.969131454281021e-16,1.083971436761668e-14,3.69392702883815e-14,9.58571558111225e-14
clockmon_[119.0__0__191.0__0__0__0],"[119.0, 0, 191.0, 0, 0, 0]",4.60792872775449e-14,1.876264457216539e-17,8.852121478102751e-15,3.967430638956623e-16,1.876264457216539e-17,6.017484337474326e-14,1.141095731730421e-15,1.116932198683077e-14,8.852121478102751e-15,1.141095731730421e-15,9.708459430489812e-14,3.69198453958632e-14,3.967430638956623e-16,1.116932198683077e-14,3.69198453958632e-14,9.564045075841637e-14
clockmon_[119.0__0__20.0__0__0__0],"[119.0, 0, 20.0, 0, 0, 0]",4.6111024094427904e-14,7.551772180843039e-18,8.85384733510789e-15,4.003668919773637e-16,7.551772180843039e-18,4.221036525099459e-14,3.001779856161874e-16,2.781493801761595e-15,8.85384733510789e-15,3.001779856161874e-16,9.761173337022264e-14,3.719808225717567e-14,4.003668919773637e-16,2.781493801761595e-15,3.719808225717567e-14,1.0064566516881667e-13
