key,coupler_widths,C11,C12,C13,C14,C21,C22,C23,C24,C31,C32,C33,C34,C41,C42,C43,C44
clockmon_sensing_188.0_0_0_48.0_0_0,"[188.0, 0, 0, 48.0, 0, 0]",5.039341956057552e-14,8.258165171537366e-18,1.272527874030709e-14,4.575260765852439e-16,8.258165171537366e-18,4.129398690196106e-14,2.238835537324238e-16,5.112565323045317e-15,1.272527874030709e-14,2.238835537324238e-16,1.1044047841736597e-13,4.022919956450302e-14,4.575260765852439e-16,5.112565323045317e-15,4.022919956450302e-14,1.1425952249482292e-13
clockmon_sensing_188.0_0_0_76.0_0_0,"[188.0, 0, 0, 76.0, 0, 0]",5.041644271285887e-14,9.87354501841259e-18,1.272618778050192e-14,4.566077223626023e-16,9.87354501841259e-18,4.3037023359551105e-14,2.697747068009135e-16,6.637819229244484e-15,1.272618778050192e-14,2.697747068009135e-16,1.1043251946920967e-13,4.020951483736809e-14,4.566077223626023e-16,6.637819229244484e-15,4.020951483736809e-14,1.1349964149664493e-13
clockmon_sensing_20.0_0_0_104.0_0_0,"[20.0, 0, 0, 104.0, 0, 0]",3.976154605833805e-14,4.71883637660903e-18,3.612405596395943e-15,1.808618062510088e-16,4.71883637660903e-18,4.480910807064403e-14,3.1903598189259425e-16,8.160914181719458e-15,3.612405596395943e-15,3.1903598189259425e-16,1.1505171669369113e-13,4.031105511326584e-14,1.808618062510088e-16,8.160914181719458e-15,4.031105511326584e-14,1.1285035627315929e-13
clockmon_sensing_20.0_0_0_132.0_0_0,"[20.0, 0, 0, 132.0, 0, 0]",3.977418252638792e-14,5.379360006053556e-18,3.612365033531359e-15,1.805438939763061e-16,5.379360006053556e-18,4.66488862928859e-14,3.655043382280229e-16,9.68258800779307e-15,3.612365033531359e-15,3.655043382280229e-16,1.1503636046141083e-13,4.029506879603612e-14,1.805438939763061e-16,9.68258800779307e-15,4.029506879603612e-14,1.120863946411815e-13
clockmon_sensing_20.0_0_0_160.0_0_0,"[20.0, 0, 0, 160.0, 0, 0]",3.977757496317183e-14,6.001118133902834e-18,3.611754183472062e-15,1.799658541568433e-16,6.001118133902834e-18,4.851987095152357e-14,4.115847797993802e-16,1.12056627804118e-14,3.611754183472062e-15,4.115847797993802e-16,1.1501086881433331e-13,4.027654428228453e-14,1.799658541568433e-16,1.12056627804118e-14,4.027654428228453e-14,1.1128945739026762e-13
clockmon_sensing_20.0_0_0_188.0_0_0,"[20.0, 0, 0, 188.0, 0, 0]",3.977404014933757e-14,6.713957137297967e-18,3.611858207662293e-15,1.798360762421732e-16,6.713957137297967e-18,5.038860569704954e-14,4.581630760213978e-16,1.272361913431709e-14,3.611858207662293e-15,4.581630760213978e-16,1.149852084649637e-13,4.025410495314919e-14,1.798360762421732e-16,1.272361913431709e-14,4.025410495314919e-14,1.1049488493038604e-13
clockmon_sensing_20.0_0_0_20.0_0_0,"[20.0, 0, 0, 20.0, 0, 0]",3.977352430087667e-14,2.771099656640636e-18,3.612190398939744e-15,1.818208514124442e-16,2.771099656640636e-18,3.9778853459685456e-14,1.817214123104593e-16,3.611224199687786e-15,3.612190398939744e-15,1.817214123104593e-16,1.1512988509927553e-13,4.038098471018858e-14,1.818208514124442e-16,3.611224199687786e-15,4.038098471018858e-14,1.151354575947335e-13
clockmon_sensing_20.0_0_0_216.0_0_0,"[20.0, 0, 0, 216.0, 0, 0]",3.976868218686675e-14,7.353727725318044e-18,3.611964854992647e-15,1.796033653247658e-16,7.353727725318044e-18,5.229318319727624e-14,5.039448995260543e-16,1.423332668766185e-14,3.611964854992647e-15,5.039448995260543e-16,1.1495269557139776e-13,4.023395978725305e-14,1.796033653247658e-16,1.423332668766185e-14,4.023395978725305e-14,1.0969580977358821e-13
clockmon_sensing_20.0_0_0_244.0_0_0,"[20.0, 0, 0, 244.0, 0, 0]",3.9760694990653576e-14,7.99671153374314e-18,3.611789884804398e-15,1.791166161100521e-16,7.99671153374314e-18,5.4183463861592925e-14,5.490924836372836e-16,1.57252392136852e-14,3.611789884804398e-15,5.490924836372836e-16,1.149258164176147e-13,4.021143822871864e-14,1.791166161100521e-16,1.57252392136852e-14,4.021143822871864e-14,1.088865508015388e-13
clockmon_sensing_20.0_0_0_272.0_0_0,"[20.0, 0, 0, 272.0, 0, 0]",3.976826497680472e-14,8.633730525429762e-18,3.611860640055984e-15,1.788099147820078e-16,8.633730525429762e-18,5.616277898754315e-14,5.940331324639809e-16,1.721828540576492e-14,3.611860640055984e-15,5.940331324639809e-16,1.1490383777504466e-13,4.019445132811209e-14,1.788099147820078e-16,1.721828540576492e-14,4.019445132811209e-14,1.08088296904045e-13
